,L1_ITO,L2_ZnO,L3_PbSTBAI,L4_Au,Transmission,Reflection
880.0,0.0539931326937,0.0,0.254815636348,0.0367718849528,1.30506283066e-05,0.654406295377
881.0,0.0532832899799,0.0,0.256727131092,0.0366324863787,1.30276634492e-05,0.653344064885
882.0,0.052594494467,0.0,0.258620481736,0.0364946306011,1.3005589941e-05,0.652277387606
883.0,0.0519096193655,0.0,0.260798366804,0.0363558166466,1.29823743173e-05,0.650923214809
884.0,0.0512305689584,0.0,0.262974593317,0.0362228284077,1.2961211557e-05,0.649559048106
885.0,0.0505540125577,0.0,0.265454885416,0.0360844166103,1.29374575198e-05,0.647893747958
886.0,0.0498794370151,0.0,0.267880935825,0.0359453319949,1.2913503865e-05,0.646281381662
887.0,0.0492257375657,0.0,0.270553595796,0.0357964663889,1.28852383953e-05,0.644411315011
888.0,0.0485568355757,0.0,0.273228157397,0.0356511814697,1.28584599647e-05,0.642550967097
889.0,0.0478975936911,0.0,0.276157751446,0.0355048639885,1.2830393575e-05,0.640426960481
890.0,0.0472654733644,0.0,0.279086994499,0.0353637074893,1.28046358663e-05,0.638271020012
891.0,0.0466189369465,0.0,0.28225289138,0.0352165932727,1.27760308057e-05,0.63589880237
892.0,0.0459973340305,0.0,0.285368658212,0.0350756081365,1.27498887795e-05,0.633545649732
893.0,0.0453847849941,0.0,0.288685802591,0.0349303859281,1.27217632945e-05,0.630986304723
894.0,0.0447795389801,0.0,0.291999199916,0.0347916048186,1.26960484887e-05,0.628416960237
895.0,0.0441873317701,0.0,0.295516051532,0.034650922756,1.26689583922e-05,0.625633024984
896.0,0.0436018147314,0.0,0.298976886733,0.0345123436324,1.26430324792e-05,0.62289631187
897.0,0.0430300927991,0.0,0.302633092992,0.0343730509513,1.26160067058e-05,0.619951147251
898.0,0.0424665764157,0.0,0.306248009289,0.0342372729266,1.25905619413e-05,0.617035550807
899.0,0.0419321375991,0.0,0.309978010801,0.0341017409534,1.25647277287e-05,0.613975545919
900.0,0.0413885144643,0.0,0.31373552548,0.0339677978593,1.25395147774e-05,0.610895622681
901.0,0.0408744031939,0.0,0.317561498365,0.0338338492107,1.25137672664e-05,0.607717735463
902.0,0.0403558598492,0.0,0.321392185387,0.0337050124342,1.24897302189e-05,0.604534452599
903.0,0.0398677677442,0.0,0.325306290984,0.0335747214769,1.24649439315e-05,0.601238754851
904.0,0.0393846075187,0.0,0.329196585417,0.0334479262902,1.24413817297e-05,0.597958439392
905.0,0.0389203143505,0.0,0.333146027735,0.033321462631,1.24173515375e-05,0.594599777932
906.0,0.0384643500962,0.0,0.337087758922,0.0332000204873,1.23952412568e-05,0.591235475253
907.0,0.0380232812995,0.0,0.341039475427,0.0330793398419,1.23726254049e-05,0.587845530806
908.0,0.0375898070104,0.0,0.344951097291,0.0329612797005,1.23511808319e-05,0.584485464817
909.0,0.037185704151,0.0,0.348906101557,0.0328446506338,1.23296711106e-05,0.581051213987
910.0,0.03677744959,0.0,0.352826500333,0.0327308944637,1.23091711122e-05,0.577652846442
911.0,0.0363867083843,0.0,0.356707679754,0.0326220302053,1.22895477197e-05,0.574271292109
912.0,0.0360153348394,0.0,0.360578612624,0.0325141697632,1.22707098393e-05,0.570879612063
913.0,0.0356607392485,0.0,0.364408006194,0.03241067487,1.22526170589e-05,0.567508327071
914.0,0.0353124764191,0.0,0.368230915221,0.0323097271309,1.22355191325e-05,0.56413464571
915.0,0.0349821260891,0.0,0.371957408097,0.0322121092064,1.22188921e-05,0.560836137715
916.0,0.0346565078124,0.0,0.375669295832,0.0321174740532,1.22033559653e-05,0.557544518946
917.0,0.0343460577145,0.0,0.37926095791,0.0320272146537,1.2188644742e-05,0.554353581077
918.0,0.0340444875712,0.0,0.382880376222,0.0319396749456,1.21748811085e-05,0.55112328638
919.0,0.0337688416612,0.0,0.386349660705,0.0318609694582,1.2163647497e-05,0.548008364529
920.0,0.0334877241114,0.0,0.389808467152,0.031787004468,1.21536976656e-05,0.544904650572
921.0,0.0332344018197,0.0,0.393101230004,0.0317206247328,1.21459072233e-05,0.541931597536
922.0,0.0329856590319,0.0,0.396425020307,0.0316539289649,1.21381912348e-05,0.538923253505
923.0,0.032750079073,0.0,0.39954342427,0.0315956664946,1.21325371462e-05,0.536098697626
924.0,0.0325190591601,0.0,0.402665223074,0.0315390650595,1.2127477684e-05,0.533264525229
925.0,0.0323016957333,0.0,0.405593996147,0.0314887521743,1.21239623265e-05,0.530603431983
926.0,0.0320891883216,0.0,0.408526409448,0.0314411567978,1.21213936982e-05,0.527931124039
927.0,0.031889149756,0.0,0.411253612345,0.0314014017438,1.21209216805e-05,0.525443715233
928.0,0.031693771097,0.0,0.413977635155,0.0313637234283,1.21210646742e-05,0.522952749255
929.0,0.0315188451907,0.0,0.416496988778,0.0313348044866,1.21239080197e-05,0.520637237637
930.0,0.0313491030395,0.0,0.418990273186,0.0313061023693,1.21267833525e-05,0.518342394622
931.0,0.031188972362,0.0,0.421281452615,0.0312875061647,1.21325666245e-05,0.516229936292
932.0,0.031021353607,0.0,0.423556972358,0.0312709713965,1.21387793014e-05,0.514138563859
933.0,0.0308723681176,0.0,0.425572087398,0.0312628087598,1.214761405e-05,0.512280588111
934.0,0.0307380018054,0.0,0.42760396923,0.0312575654489,1.21576318072e-05,0.510388305884
935.0,0.0306013951598,0.0,0.429385161402,0.0312624002421,1.21703834062e-05,0.508738872813
936.0,0.0304675041379,0.0,0.431174505246,0.0312665782129,1.21829084219e-05,0.507079229495
937.0,0.0303519508749,0.0,0.432701773207,0.0312841061638,1.21997596251e-05,0.505649969995
938.0,0.0302390620278,0.0,0.434236125148,0.0313020600538,1.22167521087e-05,0.504210536018
939.0,0.0301210336358,0.0,0.435505499649,0.0313301933761,1.22366102395e-05,0.503031036729
940.0,0.0300160558958,0.0,0.436781477679,0.0313601702414,1.22572098626e-05,0.501830038974
941.0,0.0299162774591,0.0,0.437795285096,0.0314003511284,1.22810707133e-05,0.500875805246
942.0,0.0298274462638,0.0,0.438794728142,0.0314435449219,1.23059923055e-05,0.49992197468
943.0,0.0297342781107,0.0,0.439533214469,0.0314985123627,1.23345233036e-05,0.499221660535
944.0,0.0296532042647,0.0,0.440288220877,0.0315531721593,1.23631315323e-05,0.498493039568
945.0,0.0295661370863,0.0,0.44077590524,0.0316205040188,1.23954856674e-05,0.49802505817
946.0,0.0294905647299,0.0,0.441251755786,0.031689820833,1.24287339985e-05,0.497555429917
947.0,0.0294194771311,0.0,0.441475561224,0.0317702746142,1.24656951369e-05,0.497322221336
948.0,0.0293514504608,0.0,0.441708058596,0.031852798178,1.25032151235e-05,0.49707518955
949.0,0.0292852017862,0.0,0.441656388953,0.0319486917276,1.25451316203e-05,0.497097172401
950.0,0.0292208431056,0.0,0.441613065685,0.032043988151,1.25868425749e-05,0.497109516216
951.0,0.0291671816078,0.0,0.441276408129,0.0321536216586,1.26334408418e-05,0.497390155164
952.0,0.0291105866703,0.0,0.441797925401,0.0322309248494,1.266902922e-05,0.49684789405
953.0,0.029058228859,0.0,0.439789623311,0.0324110367792,1.27391237945e-05,0.498728371927
954.0,0.0290163983605,0.0,0.440336094944,0.0324957728584,1.27771629299e-05,0.498138956675
955.0,0.0289712573974,0.0,0.438334713944,0.0326951509054,1.28529606657e-05,0.499986024792
956.0,0.0289368862683,0.0,0.438902459331,0.0327927482501,1.28947672127e-05,0.499355011383
957.0,0.0289055212334,0.0,0.436911537571,0.0329961666914,1.29720403471e-05,0.501173802464
958.0,0.0288702910872,0.0,0.43492542514,0.0332012913806,1.30495341587e-05,0.502989942858
959.0,0.0288537754199,0.0,0.435543265607,0.0333052403804,1.30937973394e-05,0.502284624795
960.0,0.0288335114067,0.0,0.433565245728,0.0335143474251,1.31728332265e-05,0.504073722607
961.0,0.0288153175025,0.0,0.431588405667,0.0337277272714,1.32533274535e-05,0.505855296232
962.0,0.0288026026201,0.0,0.429613283,0.0339441211152,1.33347187183e-05,0.507626658546
963.0,0.0287947772801,0.0,0.427638231618,0.0341621148983,1.34168387699e-05,0.509391459364
964.0,0.0287907071773,0.0,0.425662223957,0.034384562877,1.35002145734e-05,0.511149005774
965.0,0.02879873138,0.0,0.42368218425,0.0346083347862,1.35844096317e-05,0.512897165174
966.0,0.0288124093503,0.0,0.421695506627,0.0348362867839,1.36697280111e-05,0.514642127511
967.0,0.028832380014,0.0,0.419720656219,0.0350669702312,1.37562431372e-05,0.516366237293
968.0,0.0288590227867,0.0,0.417735317605,0.0353016783684,1.38438599868e-05,0.51809013738
969.0,0.0288922659651,0.0,0.415758434852,0.0355389776489,1.39324917167e-05,0.519796389042
970.0,0.0289332125571,0.0,0.413771685658,0.0357806029185,1.40223616218e-05,0.521500476505
971.0,0.0289889594436,0.0,0.41178618765,0.0360259114696,1.4113788388e-05,0.523184827649
972.0,0.0290457832397,0.0,0.406941260251,0.0363905177817,1.42443125045e-05,0.527608194415
973.0,0.029118279088,0.0,0.404934449822,0.0366445217524,1.43385016567e-05,0.529288410836
974.0,0.0291990124464,0.0,0.402634361449,0.0369129213209,1.44372538641e-05,0.53123926753
975.0,0.0292911204121,0.0,0.399740506303,0.0372109786669,1.45458500367e-05,0.533742848768
976.0,0.0293998325636,0.0,0.396523660743,0.0375239232251,1.46593273679e-05,0.536537924141
977.0,0.0295141901229,0.0,0.393598100139,0.0378325543789,1.47712018799e-05,0.539040384157
978.0,0.0296463877737,0.0,0.390337754817,0.03815606243,1.48879204043e-05,0.541844907059
979.0,0.0297934759506,0.0,0.387065155812,0.0384877208096,1.50073551086e-05,0.544638640072
980.0,0.0299540293015,0.0,0.383442078518,0.0388365275425,1.51320720079e-05,0.547752232566
981.0,0.0301388775921,0.0,0.380102608096,0.0391772161455,1.52544412351e-05,0.550566043725
