Wavelength (nm),Global tilt  mW*cm-2*nm-1 (1sun AM 1.5)
1059.0,6.1875E-02
1060.0,6.3585E-02
1061.0,6.2121E-02
1062.0,6.3266E-02
1063.0,6.2239E-02
1064.0,6.3196E-02
1065.0,6.2913E-02
1066.0,6.1713E-02
1067.0,6.2032E-02
1068.0,6.1944E-02
1069.0,5.8626E-02
1070.0,6.0469E-02
1071.0,6.1661E-02
1072.0,6.1536E-02
1073.0,6.0363E-02
1074.0,6.2158E-02
1075.0,5.9252E-02
1076.0,6.1471E-02
1077.0,6.0434E-02
1078.0,6.0321E-02
1079.0,6.0474E-02
1080.0,5.9722E-02
1081.0,5.8083E-02
1082.0,5.8940E-02
1083.0,5.9814E-02
1084.0,5.7852E-02
1085.0,5.9330E-02
1086.0,5.5410E-02
1087.0,5.6697E-02
1088.0,5.9317E-02
1089.0,5.7919E-02
1090.0,5.5573E-02
1091.0,5.8835E-02
1092.0,5.8124E-02
1093.0,5.1058E-02
1094.0,5.3965E-02
1095.0,5.2067E-02
1096.0,5.0323E-02
1097.0,5.7852E-02
1098.0,5.0291E-02
1099.0,5.0772E-02
1100.0,4.8577E-02
1101.0,4.9696E-02
1102.0,4.6883E-02
1103.0,4.6637E-02
1104.0,4.6765E-02
1105.0,5.0644E-02
1106.0,3.9792E-02
1107.0,4.8304E-02
1108.0,4.1565E-02
1109.0,4.1278E-02
1110.0,4.7899E-02
1111.0,3.3154E-02
1112.0,4.1357E-02
1113.0,2.6850E-02
1114.0,2.9985E-02
1115.0,2.4987E-02
1116.0,2.0136E-02
1117.0,7.9618E-03
1118.0,2.1753E-02
1119.0,1.1317E-02
1120.0,1.4189E-02
1121.0,1.8586E-02
1122.0,8.1686E-03
1123.0,1.2817E-02
1124.0,1.0870E-02
1125.0,1.4428E-02
1126.0,5.1589E-03
1127.0,1.5725E-02
1128.0,9.9224E-03
1129.0,1.0591E-02
1130.0,7.0574E-03
1131.0,2.9560E-02
1132.0,2.3411E-02
1133.0,1.5331E-02
1134.0,4.1740E-03
1135.0,1.5462E-03
1136.0,1.2876E-02
1137.0,2.8785E-02
1138.0,2.0329E-02
1139.0,2.9850E-02
1140.0,2.5599E-02
1141.0,1.9337E-02
1142.0,2.2479E-02
1143.0,3.1183E-02
1144.0,1.1326E-02
1145.0,1.4604E-02
1146.0,1.5764E-02
1147.0,5.9176E-03
1148.0,2.7113E-02
1149.0,2.1854E-02
1150.0,1.2164E-02
1151.0,2.0340E-02
1152.0,2.4762E-02
1153.0,2.3812E-02
1154.0,1.4248E-02
1155.0,3.1316E-02
1156.0,2.8090E-02
1157.0,3.1458E-02
1158.0,3.1171E-02
1159.0,3.3693E-02
1160.0,2.8648E-02
1161.0,3.4753E-02
1162.0,3.5002E-02
1163.0,4.6857E-02
1164.0,4.0188E-02
1165.0,3.8860E-02
1166.0,3.7494E-02
1167.0,4.0996E-02
1168.0,4.1954E-02
1169.0,4.2310E-02
1170.0,4.5873E-02
1171.0,4.4831E-02
1172.0,4.5483E-02
1173.0,4.5642E-02
1174.0,3.3692E-02
1175.0,4.5240E-02
1176.0,4.7679E-02
1177.0,4.7235E-02
1178.0,3.6000E-02
1179.0,4.8371E-02
1180.0,4.4069E-02
1181.0,4.5514E-02
1182.0,3.2318E-02
1183.0,4.3870E-02
1184.0,4.1985E-02
1185.0,4.0741E-02
1186.0,4.7715E-02
1187.0,4.5575E-02
1188.0,3.3504E-02
1189.0,4.1569E-02
1190.0,4.6239E-02
1191.0,4.4660E-02
1192.0,4.7336E-02
1193.0,4.5434E-02
1194.0,4.6890E-02
1195.0,4.4696E-02
1196.0,4.3131E-02
1197.0,4.7715E-02
1198.0,4.3392E-02
1199.0,3.6489E-02
1200.0,4.4825E-02
1201.0,4.3708E-02
1202.0,4.3717E-02
1203.0,4.3409E-02
1204.0,3.6247E-02
1205.0,4.3692E-02
1206.0,4.8086E-02
1207.0,4.2986E-02
1208.0,4.3346E-02
1209.0,4.1428E-02
1210.0,4.5336E-02
1211.0,4.2232E-02
1212.0,4.2489E-02
1213.0,4.6956E-02
1214.0,4.3407E-02
1215.0,4.2780E-02
1216.0,4.6640E-02
1217.0,4.5528E-02
1218.0,4.5934E-02
1219.0,4.4663E-02
1220.0,4.5805E-02
1221.0,4.6531E-02
1222.0,4.5139E-02
1223.0,4.4406E-02
1224.0,4.4808E-02
1225.0,4.6236E-02
1226.0,4.6819E-02
1227.0,4.3304E-02
1228.0,4.6658E-02
1229.0,4.6721E-02
1230.0,4.6003E-02
1231.0,4.7203E-02
1232.0,4.6633E-02
1233.0,4.5397E-02
1234.0,4.7016E-02
1235.0,4.6504E-02
1236.0,4.6908E-02
1237.0,4.6339E-02
1238.0,4.6797E-02
1239.0,4.6272E-02
1240.0,4.6077E-02
1241.0,4.6197E-02
1242.0,4.6247E-02
1243.0,4.5754E-02
1244.0,4.5528E-02
1245.0,4.5655E-02
1246.0,4.5945E-02
1247.0,4.5746E-02
1248.0,4.5860E-02
1249.0,4.5966E-02
1250.0,4.5705E-02
1251.0,4.5258E-02
1252.0,4.5097E-02
1253.0,4.4773E-02
1254.0,4.4363E-02
1255.0,4.5070E-02
1256.0,4.4023E-02
1257.0,4.3532E-02
1258.0,4.4496E-02
1259.0,4.2725E-02
1260.0,4.3110E-02
1261.0,4.1146E-02
1262.0,3.9567E-02
1263.0,4.0019E-02
1264.0,3.7148E-02
1265.0,3.9570E-02
1266.0,3.8527E-02
1267.0,3.8822E-02
1268.0,3.7051E-02
1269.0,2.4652E-02
1270.0,3.8744E-02
1271.0,4.0825E-02
1272.0,4.0879E-02
1273.0,4.0625E-02
1274.0,4.0614E-02
1275.0,4.1233E-02
1276.0,4.1693E-02
1277.0,4.2001E-02
1278.0,4.2763E-02
1279.0,4.2456E-02
1280.0,4.2204E-02
1281.0,4.1335E-02
1282.0,3.7305E-02
1283.0,4.0733E-02
1284.0,4.2078E-02
1285.0,4.2399E-02
